,Freq(cm-1),atom_0_cart,atom_0_norms,atom_0_vector,atom_1_cart,atom_1_norms,atom_1_vector,atom_2_cart,atom_2_norms,atom_2_vector,atom_3_cart,atom_3_norms,atom_3_vector,atom_4_cart,atom_4_norms,atom_4_vector,atom_5_cart,atom_5_norms,atom_5_vector,atom_6_cart,atom_6_norms,atom_6_vector,atom_7_cart,atom_7_norms,atom_7_vector,total_norms
1,8e-06,"[0.0, 0.0, 0.0]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[1.373411, 1.373411, 1.373411]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[0.0, 2.746821, 2.746821]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[1.373411, 4.120232, 4.120232]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[2.746821, 0.0, 2.746821]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[4.120232, 1.373411, 4.120232]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[2.746821, 2.746821, 0.0]",0.124999567814,[-0.119238 -0.304937 -0.133399],"[4.120232, 4.120232, 1.373411]",0.124999567814,[-0.119238 -0.304937 -0.133399],0.9999982712545058
2,5e-06,"[0.0, 0.0, 0.0]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[1.373411, 1.373411, 1.373411]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[0.0, 2.746821, 2.746821]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[1.373411, 4.120232, 4.120232]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[2.746821, 0.0, 2.746821]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[4.120232, 1.373411, 4.120232]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[2.746821, 2.746821, 0.0]",0.12499991293800002,[-0.048721 -0.124184  0.327421],"[4.120232, 4.120232, 1.373411]",0.12499991293800002,[-0.048721 -0.124184  0.327421],0.9999996517519395
3,1.2e-05,"[0.0, 0.0, 0.0]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[1.373411, 1.373411, 1.373411]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[0.0, 2.746821, 2.746821]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[1.373411, 4.120232, 4.120232]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[2.746821, 0.0, 2.746821]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[4.120232, 1.373411, 4.120232]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[2.746821, 2.746821, 0.0]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],"[4.120232, 4.120232, 1.373411]",0.12499971670099999,[-3.29254e-01  1.28808e-01 -1.39000e-04],0.9999988668033579
4,153.254224,"[0.0, 0.0, 0.0]",0.133021851269,[ 0.000815 -0.35928   0.062762],"[1.373411, 1.373411, 1.373411]",0.10585775671700001,[-0.3244    0.024611  0.004086],"[0.0, 2.746821, 2.746821]",0.064897263035,[-0.000815  0.138423  0.213859],"[1.373411, 4.120232, 4.120232]",0.21934375334900003,[ 0.3244    0.25201  -0.224943],"[2.746821, 0.0, 2.746821]",0.226899876506,[ 0.228215  0.35928  -0.213859],"[4.120232, 1.373411, 4.120232]",0.08123898437900001,[ 0.173303 -0.024611  0.224943],"[2.746821, 2.746821, 0.0]",0.075182081798,[-0.228215 -0.138423 -0.062762],"[4.120232, 4.120232, 1.373411]",0.09355966530500001,[-0.173303 -0.25201  -0.004086],1.0000006161788102
5,153.254224,"[0.0, 0.0, 0.0]",0.15992552329299997,[ 0.333483 -0.20295   0.086752],"[1.373411, 1.373411, 1.373411]",0.026207494433999997,[ 0.140449  0.080428 -0.003593],"[0.0, 2.746821, 2.746821]",0.20110312837899996,[-0.333483 -0.124219 -0.272877],"[1.373411, 4.120232, 4.120232]",0.195478498339,[-0.140449 -0.266553 -0.323577],"[2.746821, 0.0, 2.746821]",0.11583275563299997,[-0.013498  0.20295   0.272877],"[4.120232, 1.373411, 4.120232]",0.159210610513,[ 0.21918  -0.080428  0.323577],"[2.746821, 2.746821, 0.0]",0.023138465469,[ 0.013498  0.124219 -0.086752],"[4.120232, 4.120232, 1.373411]",0.119103283858,[-0.21918   0.266553  0.003593],0.9999998799589926
6,153.254224,"[0.0, 0.0, 0.0]",0.06736702974199998,[-0.257665 -0.011341  0.029106],"[1.373411, 1.373411, 1.373411]",0.19053165291299998,[ 0.146942 -0.41035   0.023507],"[0.0, 2.746821, 2.746821]",0.184388303906,[ 0.257665  0.061784 -0.337905],"[1.373411, 4.120232, 4.120232]",0.032630105060999996,[-0.146942  0.101551  0.026936],"[2.746821, 0.0, 2.746821]",0.178944351002,[0.254236 0.011341 0.337905],"[4.120232, 1.373411, 4.120232]",0.21754259522,[ 0.220068  0.41035  -0.026936],"[2.746821, 2.746821, 0.0]",0.06930036558800001,[-0.254236 -0.061784 -0.029106],"[4.120232, 4.120232, 1.373411]",0.05929510927400001,[-0.220068 -0.101551 -0.023507],0.9999997563529703
7,153.254224,"[0.0, 0.0, 0.0]",0.011510660669,[-0.018435 -0.101062 -0.03094 ],"[1.373411, 1.373411, 1.373411]",0.042507653457,[-0.199526  0.051859 -0.00277 ],"[0.0, 2.746821, 2.746821]",0.164353931587,[ 0.018435  0.386859 -0.119809],"[1.373411, 4.120232, 4.120232]",0.16413153982900003,[ 0.199526 -0.202608  0.288567],"[2.746821, 0.0, 2.746821]",0.09904322592899999,[-0.272902  0.101062  0.119809],"[4.120232, 1.373411, 4.120232]",0.169131945395,[ 0.288395 -0.051859 -0.288567],"[2.746821, 2.746821, 0.0]",0.225092671085,[ 0.272902 -0.386859  0.03094 ],"[4.120232, 4.120232, 1.373411]",0.124229350589,[-0.288395  0.202608  0.00277 ],1.0000004892698802
8,153.254224,"[0.0, 0.0, 0.0]",0.24468503824499999,[-0.045247  0.076856  0.48655 ],"[1.373411, 1.373411, 1.373411]",0.13504520721,[ 0.252235  0.267247 -0.001324],"[0.0, 2.746821, 2.746821]",0.003819212926,[0.045247 0.025269 0.033666],"[1.373411, 4.120232, 4.120232]",0.13831699985,[-0.252235  0.252968  0.103449],"[2.746821, 0.0, 2.746821]",0.010583588968,[-0.059526 -0.076856 -0.033666],"[4.120232, 1.373411, 4.120232]",0.122382274514,[ 0.200648 -0.267247 -0.103449],"[2.746821, 2.746821, 0.0]",0.24091276953699997,[ 0.059526 -0.025269 -0.48655 ],"[4.120232, 4.120232, 1.373411]",0.104254181904,[-0.200648 -0.252968  0.001324],0.999999636576934
9,153.254224,"[0.0, 0.0, 0.0]",0.133490318926,[ 2.64594e-01  2.51953e-01 -1.41000e-04],"[1.373411, 1.373411, 1.373411]",0.24984995990800002,[-0.00369   0.020688  0.499408],"[0.0, 2.746821, 2.746821]",0.13143832014999998,[-0.264594  0.247575  0.011617],"[1.373411, 4.120232, 4.120232]",9.850986900000003e-05,[ 0.00369  -0.009213  0.00012 ],"[2.746821, 0.0, 2.746821]",0.118696073147,[ 0.234693 -0.251953 -0.011617],"[4.120232, 1.373411, 4.120232]",0.0004931003680000002,[-0.008068 -0.020688 -0.00012 ],"[2.746821, 2.746821, 0.0]",0.116374204755,[-2.34693e-01 -2.47575e-01  1.41000e-04],"[4.120232, 4.120232, 1.373411]",0.249558322457,[ 0.008068  0.009213 -0.499408],0.9999994047898229
10,397.274947,"[0.0, 0.0, 0.0]",0.135545702805,[ 0.288006 -0.00606  -0.229263],"[1.373411, 1.373411, 1.373411]",0.11445423674500001,[-0.319674  0.11071  -0.002463],"[0.0, 2.746821, 2.746821]",0.135545702805,[0.288006 0.00606  0.229263],"[1.373411, 4.120232, 4.120232]",0.11445423674500001,[-0.319674 -0.11071   0.002463],"[2.746821, 0.0, 2.746821]",0.135545702805,[-0.288006 -0.00606   0.229263],"[4.120232, 1.373411, 4.120232]",0.11445423674500001,[0.319674 0.11071  0.002463],"[2.746821, 2.746821, 0.0]",0.135545702805,[-0.288006  0.00606  -0.229263],"[4.120232, 4.120232, 1.373411]",0.11445423674500001,[ 0.319674 -0.11071  -0.002463],0.9999998790999927
11,397.274947,"[0.0, 0.0, 0.0]",0.223510701442,[-0.205329 -0.029585 -0.424824],"[1.373411, 1.373411, 1.373411]",0.026489640347000003,[ 0.069245 -0.147289 -0.000849],"[0.0, 2.746821, 2.746821]",0.223510701442,[-0.205329  0.029585  0.424824],"[1.373411, 4.120232, 4.120232]",0.026489640347000003,[0.069245 0.147289 0.000849],"[2.746821, 0.0, 2.746821]",0.223510701442,[ 0.205329 -0.029585  0.424824],"[4.120232, 1.373411, 4.120232]",0.026489640347000003,[-0.069245 -0.147289  0.000849],"[2.746821, 2.746821, 0.0]",0.223510701442,[ 0.205329  0.029585 -0.424824],"[4.120232, 4.120232, 1.373411]",0.026489640347000003,[-0.069245  0.147289 -0.000849],1.0000006835777664
